created_at	volume	rank	twitter_id	text	show_text
2016-05-28 06:26:00	10				
2016-05-28 06:27:00	3				
2016-05-28 06:28:00	9				
2016-05-28 06:29:00	4				
2016-05-28 06:30:00	12				
2016-05-28 06:31:00	8				
2016-05-28 06:32:00	10				
2016-05-28 06:33:00	9				
2016-05-28 06:34:00	10				
2016-05-28 06:35:00	11				
2016-05-28 06:36:00	7				
2016-05-28 06:37:00	7				
2016-05-28 06:38:00	11				
2016-05-28 06:39:00	6				
2016-05-28 06:40:00	14				
2016-05-28 06:41:00	9				
2016-05-28 06:42:00	19				
2016-05-28 06:43:00	8				
2016-05-28 06:44:00	12				
2016-05-28 06:45:00	17				
2016-05-28 06:46:00	6				
2016-05-28 06:47:00	11				
2016-05-28 06:48:00	11				
2016-05-28 06:49:00	6				
2016-05-28 06:50:00	13				
2016-05-28 06:51:00	6				
2016-05-28 06:52:00	5				
2016-05-28 06:53:00	19				
2016-05-28 06:54:00	12				
2016-05-28 06:55:00	9				
2016-05-28 06:56:00	10				
2016-05-28 06:57:00	14				
2016-05-28 06:58:00	15				
2016-05-28 06:59:00	12				
2016-05-28 07:00:00	19				
2016-05-28 07:01:00	11				
2016-05-28 07:02:00	8				
2016-05-28 07:03:00	9				
2016-05-28 07:04:00	21				
2016-05-28 07:05:00	14				
2016-05-28 07:06:00	11				
2016-05-28 07:07:00	15				
2016-05-28 07:08:00	10				
2016-05-28 07:09:00	7				
2016-05-28 07:10:00	14				
2016-05-28 07:11:00	12				
2016-05-28 07:12:00	10				
2016-05-28 07:13:00	12				
2016-05-28 07:14:00	9				
2016-05-28 07:15:00	8				
2016-05-28 07:16:00	11				
2016-05-28 07:17:00	11				
2016-05-28 07:18:00	12				
2016-05-28 07:19:00	10				
2016-05-28 07:20:00	16				
2016-05-28 07:21:00	13				
2016-05-28 07:22:00	7				
2016-05-28 07:23:00	12				
2016-05-28 07:24:00	10				
2016-05-28 07:25:00	14				
2016-05-28 07:26:00	16				
2016-05-28 07:27:00	15				
2016-05-28 07:28:00	16				
2016-05-28 07:29:00	10				
2016-05-28 07:30:00	16				
2016-05-28 07:31:00	9				
2016-05-28 07:32:00	9				
2016-05-28 07:33:00	7				
2016-05-28 07:34:00	11				
2016-05-28 07:35:00	23				
2016-05-28 07:36:00	9				
2016-05-28 07:37:00	10				
2016-05-28 07:38:00	16				
2016-05-28 07:39:00	7				
2016-05-28 07:40:00	14				
2016-05-28 07:41:00	15				
2016-05-28 07:42:00	12				
2016-05-28 07:43:00	11				
2016-05-28 07:44:00	16				
2016-05-28 07:45:00	12				
2016-05-28 07:46:00	6				
2016-05-28 07:47:00	15				
2016-05-28 07:48:00	14				
2016-05-28 07:49:00	8				
2016-05-28 07:50:00	9				
2016-05-28 07:51:00	11				
2016-05-28 07:52:00	15				
2016-05-28 07:53:00	10				
2016-05-28 07:54:00	11				
2016-05-28 07:55:00	10				
2016-05-28 07:56:00	12				
2016-05-28 07:57:00	14				
2016-05-28 07:58:00	13				
2016-05-28 07:59:00	11				
2016-05-28 08:00:00	28				
2016-05-28 08:01:00	18				
2016-05-28 08:02:00	13				
2016-05-28 08:03:00	16				
2016-05-28 08:04:00	11				
2016-05-28 08:05:00	16				
2016-05-28 08:06:00	8				
2016-05-28 08:07:00	11				
2016-05-28 08:08:00	20				
2016-05-28 08:09:00	14				
2016-05-28 08:10:00	12				
2016-05-28 08:11:00	11				
2016-05-28 08:12:00	9				
2016-05-28 08:13:00	14				
2016-05-28 08:14:00	14				
2016-05-28 08:15:00	16				
2016-05-28 08:16:00	11				
2016-05-28 08:17:00	19				
2016-05-28 08:18:00	8				
2016-05-28 08:19:00	25				
2016-05-28 08:20:00	10				
2016-05-28 08:21:00	11				
2016-05-28 08:22:00	26				
2016-05-28 08:23:00	14				
2016-05-28 08:24:00	12				
2016-05-28 08:25:00	10				
2016-05-28 08:26:00	9				
2016-05-28 08:27:00	11				
2016-05-28 08:28:00	13				
2016-05-28 08:29:00	8				
2016-05-28 08:30:00	14				
2016-05-28 08:31:00	15				
2016-05-28 08:32:00	6				
2016-05-28 08:33:00	17				
2016-05-28 08:34:00	10				
2016-05-28 08:35:00	19				
2016-05-28 08:36:00	11				
2016-05-28 08:37:00	21				
2016-05-28 08:38:00	17				
2016-05-28 08:39:00	9				
2016-05-28 08:40:00	14				
2016-05-28 08:41:00	14				
2016-05-28 08:42:00	14				
2016-05-28 08:43:00	7				
2016-05-28 08:44:00	8				
2016-05-28 08:45:00	10				
2016-05-28 08:46:00	7				
2016-05-28 08:47:00	11				
2016-05-28 08:48:00	12				
2016-05-28 08:49:00	7				
2016-05-28 08:50:00	10				
2016-05-28 08:51:00	14				
2016-05-28 08:52:00	23				
2016-05-28 08:53:00	12				
2016-05-28 08:54:00	18				
2016-05-28 08:55:00	19				
2016-05-28 08:56:00	14				
2016-05-28 08:57:00	12				
2016-05-28 08:58:00	16				
2016-05-28 08:59:00	11				
2016-05-28 09:00:00	30				
2016-05-28 09:01:00	24				
2016-05-28 09:02:00	12				
2016-05-28 09:03:00	15				
2016-05-28 09:04:00	15				
2016-05-28 09:05:00	10				
2016-05-28 09:06:00	3				
2016-05-28 09:07:00	16				
2016-05-28 09:08:00	8				
2016-05-28 09:09:00	20				
2016-05-28 09:10:00	15				
2016-05-28 09:11:00	10				
2016-05-28 09:12:00	11				
2016-05-28 09:13:00	7				
2016-05-28 09:14:00	15				
2016-05-28 09:15:00	13				
2016-05-28 09:16:00	27				
2016-05-28 09:17:00	29				
2016-05-28 09:18:00	23				
2016-05-28 09:19:00	13				
2016-05-28 09:20:00	16				
2016-05-28 09:21:00	11				
2016-05-28 09:22:00	16				
2016-05-28 09:23:00	13				
2016-05-28 09:24:00	11				
2016-05-28 09:25:00	21				
2016-05-28 09:26:00	22				
2016-05-28 09:27:00	7				
2016-05-28 09:28:00	15				
2016-05-28 09:29:00	10				
2016-05-28 09:30:00	20				
2016-05-28 09:31:00	13				
2016-05-28 09:32:00	19				
2016-05-28 09:33:00	15				
2016-05-28 09:34:00	17				
2016-05-28 09:35:00	15				
2016-05-28 09:36:00	17				
2016-05-28 09:37:00	22				
2016-05-28 09:38:00	33				
2016-05-28 09:39:00	37				
2016-05-28 09:40:00	32				
2016-05-28 09:41:00	20				
2016-05-28 09:42:00	24				
2016-05-28 09:43:00	31				
2016-05-28 09:44:00	19				
2016-05-28 09:45:00	34				
2016-05-28 09:46:00	23				
2016-05-28 09:47:00	20				
2016-05-28 09:48:00	23				
2016-05-28 09:49:00	15				
2016-05-28 09:50:00	24				
2016-05-28 09:51:00	25				
2016-05-28 09:52:00	17				
2016-05-28 09:53:00	28				
2016-05-28 09:54:00	25				
2016-05-28 09:55:00	30				
2016-05-28 09:56:00	30				
2016-05-28 09:57:00	34				
2016-05-28 09:58:00	29				
2016-05-28 09:59:00	20				
2016-05-28 10:00:00	24				
2016-05-28 10:01:00	14				
2016-05-28 10:02:00	20				
2016-05-28 10:03:00	22				
2016-05-28 10:04:00	15				
2016-05-28 10:05:00	16				
2016-05-28 10:06:00	19				
2016-05-28 10:07:00	23				
2016-05-28 10:08:00	16				
2016-05-28 10:09:00	23				
2016-05-28 10:10:00	13				
2016-05-28 10:11:00	10				
2016-05-28 10:12:00	12				
2016-05-28 10:13:00	19				
2016-05-28 10:14:00	13				
2016-05-28 10:15:00	21				
2016-05-28 10:16:00	18				
2016-05-28 10:17:00	26				
2016-05-28 10:18:00	28				
2016-05-28 10:19:00	23				
2016-05-28 10:20:00	23				
2016-05-28 10:21:00	13				
2016-05-28 10:22:00	25				
2016-05-28 10:23:00	13				
2016-05-28 10:24:00	15				
2016-05-28 10:25:00	22				
2016-05-28 10:26:00	21				
2016-05-28 10:27:00	22				
2016-05-28 10:28:00	29				
2016-05-28 10:29:00	25				
2016-05-28 10:30:00	21				
2016-05-28 10:31:00	22				
2016-05-28 10:32:00	15				
2016-05-28 10:33:00	29				
2016-05-28 10:34:00	9				
2016-05-28 10:35:00	16				
2016-05-28 10:36:00	18				
2016-05-28 10:37:00	19				
2016-05-28 10:38:00	21				
2016-05-28 10:39:00	11				
2016-05-28 10:40:00	16				
2016-05-28 10:41:00	26				
2016-05-28 10:42:00	10				
2016-05-28 10:43:00	12				
2016-05-28 10:44:00	15				
2016-05-28 10:45:00	24				
2016-05-28 10:46:00	21				
2016-05-28 10:47:00	19				
2016-05-28 10:48:00	30				
2016-05-28 10:49:00	13				
2016-05-28 10:50:00	17				
2016-05-28 10:51:00	22				
2016-05-28 10:52:00	18				
2016-05-28 10:53:00	27				
2016-05-28 10:54:00	24				
2016-05-28 10:55:00	21				
2016-05-28 10:56:00	14				
2016-05-28 10:57:00	27				
2016-05-28 10:58:00	21				
