id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
697820500869906432	2016-02-11 16:32:26	Curious to hear Dennis Liotta speaking about his experience in drugs innovation at #TEDxNations https://t.co/9nx3mLBRpo @UNGeneva @WIPO	Curious to hear Dennis Liotta speaking about his experience in drugs innovation at #TEDxNations  @UNGeneva @WIPO	Curious to hear Dennis Liotta speaking about his experience in drugs innovation at TEDxNations  UNGeneva WIPO	curious hear dennis liotta speaking experience drugs innovation tedxnations ungeneva wipo	curious hear denni liotta speak experi drug innov tedxnat ungeneva wipo
697820488635191296	2016-02-11 16:32:24	Lost boy of South Sudan @GerDuany speaking now at #TEDxNations sharing his #refugee story. Tune in now: https://t.co/tiVQ03HUr6	Lost boy of South Sudan @GerDuany speaking now at #TEDxNations sharing his #refugee story. Tune in now: 	Lost boy of South Sudan GerDuany speaking now at TEDxNations sharing his refugee story. Tune in now: 	lost boy south sudan gerduany speaking tedxnations sharing refugee story tune	lost boy south sudan gerduani speak tedxnat share refuge stori tune
697819907791134722	2016-02-11 16:30:05	Talking about #refugees... @GerDuany opens the 2nd #TEDxNations session to share his story starting in #southsudan	Talking about #refugees... @GerDuany opens the 2nd #TEDxNations session to share his story starting in #southsudan	Talking about refugees... GerDuany opens the 2nd TEDxNations session to share his story starting in southsudan	talking refugees gerduany opens 2nd tedxnations session share story starting southsudan	talk refuge gerduani open 2nd tedxnat session share stori start southsudan
697819879982891008	2016-02-11 16:29:58	Today: life+#TEDxNations + @UNGeneva + @UNHCRInnovation + #gravitionalwaves existence+ #innov4dev hustle in #MSF + discoverin @Snapchat !:)	Today: life+#TEDxNations + @UNGeneva + @UNHCRInnovation + #gravitionalwaves existence+ #innov4dev hustle in #MSF + discoverin @Snapchat !:)	Today: life+TEDxNations + UNGeneva + UNHCRInnovation + gravitionalwaves existence+ innov4dev hustle in MSF + discoverin Snapchat !:)	today life tedxnations ungeneva unhcrinnovation gravitionalwaves existence innov 4dev hustle msf discoverin snapchat :)	today life tedxnat ungeneva unhcrinnov gravitionalwav exist innov 4dev hustl msf discoverin snapchat :)
697819461836017665	2016-02-11 16:28:19	Ger Duany, refugee ambassador up next.  #TEDxNations	Ger Duany, refugee ambassador up next. #TEDxNations	Ger Duany, refugee ambassador up next. TEDxNations	ger duany refugee ambassador next tedxnations	ger duani refuge ambassador next tedxnat
697819012923793409	2016-02-11 16:26:32	Abusive and addictive use of technology should be curbed - @JesseAnets @UNICLagos feedbacksession #TEDxNations	Abusive and addictive use of technology should be curbed - @JesseAnets @UNICLagos feedbacksession #TEDxNations	Abusive and addictive use of technology should be curbed - JesseAnets UNICLagos feedbacksession TEDxNations	abusive addictive use technology curbed jesseanets uniclagos feedbacksession tedxnations	abus addict use technolog curb jesseanet uniclago feedbacksess tedxnat
697818379852378113	2016-02-11 16:24:01	People everywhere are #innovative. Let's move away from victimization. We can do something. It starts with you.@SamInterAction #TEDxNations	People everywhere are #innovative. Let's move away from victimization. We can do something. It starts with you.@SamInterAction #TEDxNations	People everywhere are innovative. Let's move away from victimization. We can do something. It starts with you.SamInterAction TEDxNations	people everywhere innovative let's move away victimization something starts saminteraction tedxnations	peopl everywher innov let move away victim someth start saminteract tedxnat
697818029527269376	2016-02-11 16:22:37	RT unfoundation: RT cookstoves: Getting ready to watch RanyeeCleanCook at #TEDxNations. She is Geneva, we are watching live here: …	RT unfoundation: RT cookstoves: Getting ready to watch RanyeeCleanCook at #TEDxNations. She is Geneva, we are watching live here: …	RT unfoundation: RT cookstoves: Getting ready to watch RanyeeCleanCook at TEDxNations. She is Geneva, we are watching live here: …	rt unfoundation rt cookstoves getting ready watch ranyeecleancook tedxnations geneva watching live	rt unfound rt cookstov get readi watch ranyeecleancook tedxnat geneva watch live
697817403867205633	2016-02-11 16:20:08	My colleague @Unosat! That was a great talk, very inspirational! #TEDxNations  https://t.co/NLyzuX910t	My colleague @Unosat! That was a great talk, very inspirational! #TEDxNations 	My colleague Unosat! That was a great talk, very inspirational! TEDxNations 	colleague unosat great talk inspirational tedxnations	colleagu unosat great talk inspir tedxnat
697816867092701185	2016-02-11 16:18:00	We need to get more serious about getting the needs of women and girls a top priority @UNFPAdc #TEDxNations	We need to get more serious about getting the needs of women and girls a top priority @UNFPAdc #TEDxNations	We need to get more serious about getting the needs of women and girls a top priority UNFPAdc TEDxNations	need get serious getting needs women girls top priority unfpadc tedxnations	need get serious get need women girl top prioriti unfpadc tedxnat
