id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems
714749798092513282	2016-03-29 09:43:25	When Ibrahim Samaha heard he was the hijacker.  #EgyptAir https://t.co/N84b3eKexC	When Ibrahim Samaha heard he was the hijacker. #EgyptAir 	When Ibrahim Samaha heard he was the hijacker. EgyptAir 	ibrahim samaha heard hijacker egyptair	ibrahim samaha heard hijack egyptair
714749796112855040	2016-03-29 09:43:25	If he hijacks the plane for you, he's the one. Marry him #EgyptAir	If he hijacks the plane for you, he's the one. Marry him #EgyptAir	If he hijacks the plane for you, he's the one. Marry him EgyptAir	hijacks plane he's one marry egyptair	hijack plane he one marri egyptair
714749792090501123	2016-03-29 09:43:24	Having been to Egypt, I remember the security being non existent. Checks needs to be thorough &amp; consistent in all countries #EgyptAir	Having been to Egypt, I remember the security being non existent. Checks needs to be thorough &amp; consistent in all countries #EgyptAir	Having been to Egypt, I remember the security being non existent. Checks needs to be thorough  &  consistent in all countries EgyptAir	egypt remember security non existent checks needs thorough consistent countries egyptair	egypt rememb secur non exist check need thorough consist countri egyptair
714749790970585088	2016-03-29 09:43:24	Love is in the air #Egyptair	Love is in the air #Egyptair	Love is in the air Egyptair	love air egyptair	love air egyptair
714749790337253376	2016-03-29 09:43:24	#EgyptAir hostage crisis, sends letter for ex wife https://t.co/pv5yyKAetk	#EgyptAir hostage crisis, sends letter for ex wife 	EgyptAir hostage crisis, sends letter for ex wife 	egyptair hostage crisis sends letter ex wife	egyptair hostag crisi send letter ex wife
714749790018531333	2016-03-29 09:43:24	BREAKING: Egypt civil aviation minister says 7 people only remain on plane, including 3 passengers https://t.co/yaJXdl9N2y #Cyprus	BREAKING: Egypt civil aviation minister says 7 people only remain on plane, including 3 passengers  #Cyprus	BREAKING: Egypt civil aviation minister says 7 people only remain on plane, including 3 passengers  Cyprus	breaking egypt civil aviation minister says people remain plane including passengers cyprus	break egypt civil aviat minist say peopl remain plane includ passeng cyprus
714749787661275136	2016-03-29 09:43:23	Egypt Airplane Hijacker has proved that love is in the air.#EgyptAir	Egypt Airplane Hijacker has proved that love is in the air.#EgyptAir	Egypt Airplane Hijacker has proved that love is in the air.EgyptAir	egypt airplane hijacker proved love air.egyptair	egypt airplan hijack prove love air.egyptair
714749785165721603	2016-03-29 09:43:22	A dude hijacks a plane to deliver a letter to his EX-Wife, seriously? Is this a film? If not, this an awesome script for a movie! #EgyptAir	A dude hijacks a plane to deliver a letter to his EX-Wife, seriously? Is this a film? If not, this an awesome script for a movie! #EgyptAir	A dude hijacks a plane to deliver a letter to his EX-Wife, seriously? Is this a film? If not, this an awesome script for a movie! EgyptAir	dude hijacks plane deliver letter ex-wife seriously film awesome script movie egyptair	dude hijack plane deliv letter ex-wif serious film awesom script movi egyptair
714749779448832000	2016-03-29 09:43:21	Awww a guy, in love, hijacked a plane? This so cute. I want a guy like this. #EgyptAir	Awww a guy, in love, hijacked a plane? This so cute. I want a guy like this. #EgyptAir	Awww a guy, in love, hijacked a plane? This so cute. I want a guy like this. EgyptAir	awww guy love hijacked plane cute want guy like egyptair	awww guy love hijack plane cute want guy like egyptair
714749778517737473	2016-03-29 09:43:21	EgyptAir plane hijacked to Cyprus, most passengers freed https://t.co/rsO0nhWPhv	EgyptAir plane hijacked to Cyprus, most passengers freed 	EgyptAir plane hijacked to Cyprus, most passengers freed 	egyptair plane hijacked cyprus passengers freed	egyptair plane hijack cyprus passeng freed
