id	created_at	text	text_nolink	text_clean	text_clean_tokens	text_clean_stems	count_links	count_hashtags	count_mentions	count_words	count_stopwords	count_characters	count_non_characters	count_upper	bool_question	bool_elongation	bool_ellipsis	t_distinct	t_sum	tfidf_sum	tfidf_mean	pos_cnt	nes_cnt	pos_data	nes_data	pos_cnt_SYM	pos_cnt_NNPS	pos_cnt_JJ	pos_cnt_WP$	pos_cnt_VBD	pos_cnt_RB	pos_cnt_VB	pos_cnt_POS	pos_cnt_PDT	pos_cnt_CD	pos_cnt_UH	pos_cnt_VBZ	pos_cnt_VBP	pos_cnt_NNP	pos_cnt_''	pos_cnt_)	pos_cnt_$	pos_cnt_VBG	pos_cnt_VBN	pos_cnt_RBR	pos_cnt_``	pos_cnt_NN	pos_cnt_IN	pos_cnt_RBS	pos_cnt_TO	pos_cnt_DT	pos_cnt_PRP	pos_cnt_.	pos_cnt_JJR	pos_cnt_WP	pos_cnt_WRB	pos_cnt_FW	pos_cnt_RP	pos_cnt_,	pos_cnt_NNS	pos_cnt_PRP$	pos_cnt_CC	pos_cnt_EX	pos_cnt_:	pos_cnt_JJS	pos_cnt_WDT	pos_cnt_MD	pos_cnt_(	ne_cnt_GPE	ne_cnt_PERSON	ne_cnt_FACILITY	ne_cnt_ORGANIZATION	ne_cnt_LOCATION	ne_cnt_GSP
714750410427408384	2016-03-29 09:45:51	"""How Egyptair deal with hijacking its MS181 on media?"" on @LinkedIn https://t.co/Mq6BKMro6t"	"""How Egyptair deal with hijacking its MS181 on media?"" on @LinkedIn "	"""How Egyptair deal with hijacking its MS181 on media?"" on LinkedIn "	egyptair deal hijacking ms181 media linkedin	egyptair deal hijack ms181 media linkedin	1	0	1	11	5	91	0	4	1	0	0	5.0	5.0	2.0158083980400843	0.40316167960801685	13	2	"{'``': 1, 'NN': 1, 'IN': 2, ""''"": 1, 'JJ': 1, 'NNP': 2, '.': 1, 'WRB': 1, 'VBG': 1, 'NNS': 1, 'PRP$': 1}"	{'GPE': 1, 'ORGANIZATION': 1}	0	1.0	1.0	2.0	0	0	1.0	1.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	0
714750408221192195	2016-03-29 09:45:51	We come from the land where Shahjahan built a world wonder for love ... Bt hijacking a plane !!.. What is happening? #EgyptAir	We come from the land where Shahjahan built a world wonder for love ... Bt hijacking a plane !!.. What is happening? #EgyptAir	We come from the land where Shahjahan built a world wonder for love ... Bt hijacking a plane !!.. What is happening? EgyptAir	come land shahjahan built world wonder love bt hijacking plane happening egyptair	come land shahjahan built world wonder love bt hijack plane happen egyptair	0	1	0	22	11	126	0	4	1	0	1	11.0	11.0	3.028032952502744	0.2752757229547949	24	1	{'NN': 5, 'IN': 2, 'VBZ': 1, 'DT': 2, 'VBP': 1, 'NNP': 3, 'WRB': 1, 'PRP': 1, '.': 2, ':': 1, 'VBD': 1, 'VB': 1, 'VBG': 2, 'WP': 1}	{'PERSON': 1}	0	0	5.0	2.0	0	0	0	1.0	1.0	0	1.0	2.0	0	0	0	0	1.0	0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	3.0	0	0	0	1.0	2.0	0	0	0	2.0	0	0	0	0	0	1.0	0	0	0	0
714750406417588224	2016-03-29 09:45:50	Either he was reading too much Rumi or he was so in to @TonyRobbins kinda motivational seminars. #EgyptAir	Either he was reading too much Rumi or he was so in to @TonyRobbins kinda motivational seminars. #EgyptAir	Either he was reading too much Rumi or he was so in to TonyRobbins kinda motivational seminars. EgyptAir	either reading much rumi tonyrobbins kinda motivational seminars egyptair	either read much rumi tonyrobbin kinda motiv seminar egyptair	0	1	1	16	9	106	0	2	0	0	0	5.0	5.0	2.0655986832061024	0.4131197366412205	17	1	{'NN': 1, 'IN': 1, 'TO': 1, 'JJ': 2, 'NNP': 3, 'CC': 2, 'PRP': 1, '.': 1, 'VBD': 1, 'RB': 2, 'VBG': 1, 'NNS': 1}	{'ORGANIZATION': 1}	0	0	1.0	1.0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	0	1.0	2.0	0	0	0	0	1.0	0	0	0	0	0	0	3.0	1.0	2.0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0
714750405767462912	2016-03-29 09:45:50	The Latest: Egypt Says Hijacker Is Dual Egyptian-US Citizen: The Latest: Egypt airport officials say hijacker of EgyptAir plane that ...	The Latest: Egypt Says Hijacker Is Dual Egyptian-US Citizen: The Latest: Egypt airport officials say hijacker of EgyptAir plane that ...	The Latest: Egypt Says Hijacker Is Dual Egyptian-US Citizen: The Latest: Egypt airport officials say hijacker of EgyptAir plane that ...	latest egypt says hijacker dual egyptian-us citizen latest egypt airport officials say hijacker egyptair plane	latest egypt say hijack dual egyptian-us citizen latest egypt airport offici say hijack egyptair plane	0	0	0	21	6	136	0	16	0	0	1	13.0	16.0	3.276615285024052	0.25204732961723475	19	3	{'NN': 4, 'IN': 1, 'VBZ': 1, 'DT': 1, 'VBP': 1, 'NNP': 3, ':': 2, 'JJ': 3, 'JJS': 1, 'WDT': 1, 'NNS': 1}	{'GPE': 1, 'PERSON': 1, 'ORGANIZATION': 1}	0	0	4.0	1.0	0	0	3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	1.0	3.0	0	0	0	2.0	1.0	1.0	0	0	0	0	1.0	0	0	1.0	1.0	0	1.0	0	0
714750401610981376	2016-03-29 09:45:49	Realistic version from ( broken )@jeremysistoEgyptAir hijacker at Cyprus airport 'wants to contact ex-wife' – live https://t.co/SCh5MTAFbJ	Realistic version from ( broken )@jeremysistoEgyptAir hijacker at Cyprus airport 'wants to contact ex-wife' – live 	Realistic version from ( broken )jeremysistoEgyptAir hijacker at Cyprus airport 'wants to contact ex-wife' – live 	realistic version broken jeremysistoegyptair hijacker cyprus airport wants contact ex-wife live	realist version broken jeremysistoegyptair hijack cyprus airport want contact ex-wif live	1	0	0	17	5	138	1	4	0	0	0	10.0	10.0	2.9510879527824043	0.2951087952782404	18	2	"{'NN': 4, 'NNS': 1, 'IN': 2, 'TO': 1, 'VBP': 1, ""''"": 1, 'JJ': 3, ')': 1, 'NNP': 1, 'VB': 1, 'VBN': 1, '(': 1}"	{'GPE': 1, 'ORGANIZATION': 1}	0	0	4.0	2.0	0	0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	1.0	1.0	1.0	0	0	0	0	0	1.0	0	0	1.0	0	0	0	1.0	0	0	1.0	0	0
714750401040551936	2016-03-29 09:45:49	Glad I cancelled just not willing to risk it, hope everyone is safe #EgyptAir	Glad I cancelled just not willing to risk it, hope everyone is safe #EgyptAir	Glad I cancelled just not willing to risk it, hope everyone is safe EgyptAir	glad cancelled willing risk hope everyone safe egyptair	glad cancel will risk hope everyon safe egyptair	0	1	0	13	6	77	0	2	0	0	0	8.0	8.0	2.6695522167410104	0.3336940270926263	15	1	{'NN': 1, 'VBZ': 1, 'TO': 1, 'JJ': 2, 'NNP': 2, 'PRP': 2, 'VBD': 1, 'RB': 2, 'VB': 2, ',': 1}	{'ORGANIZATION': 1}	0	0	1.0	0	0	0	2.0	0	0	0	2.0	0	0	0	0	0	1.0	2.0	2.0	0	0	1.0	0	0	0	0	0	1.0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0
714750400285507588	2016-03-29 09:45:49	Egypt corrects #EgyptAirhijacker's name -- Seif ElDin Mustafa, an Egyptiannational. Not IbrahimSamaha.	Egypt corrects #EgyptAirhijacker's name -- Seif ElDin Mustafa, an Egyptiannational. Not IbrahimSamaha.	Egypt corrects EgyptAirhijacker's name -- Seif ElDin Mustafa, an Egyptiannational. Not IbrahimSamaha.	egypt corrects egyptairhijacker's name seif eldin mustafa egyptiannational ibrahimsamaha	egypt correct egyptairhijack name seif eldin mustafa egyptiann ibrahimsamaha	0	1	0	11	3	102	0	9	0	0	0	8.0	8.0	2.748522656189122	0.34356533202364026	15	3	{'NN': 1, 'VBZ': 1, 'DT': 1, 'NNP': 7, '.': 1, ':': 1, 'POS': 1, 'RB': 1, ',': 1}	{'GPE': 1, 'PERSON': 1, 'ORGANIZATION': 1}	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	1.0	0	0	0	1.0	0	0	0	0	0	1.0	0	7.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	0
714750400130387970	2016-03-29 09:45:49	EgyptAir hijack: Jet lands at Larnaca airport https://t.co/up94gleysM https://t.co/gjf7Sk24OB	EgyptAir hijack: Jet lands at Larnaca airport  	EgyptAir hijack: Jet lands at Larnaca airport  	egyptair hijack jet lands larnaca airport	egyptair hijack jet land larnaca airport	2	0	0	9	1	93	0	4	0	0	0	6.0	6.0	2.3384607021028265	0.3897434503504711	8	3	{'NNP': 3, 'NN': 2, 'IN': 1, 'VBZ': 1, ':': 1}	{'GPE': 1, 'PERSON': 1, 'ORGANIZATION': 1}	0	0	2.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	3.0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	0
714750399564087298	2016-03-29 09:45:49	#EgyptAir | Cypriot officials say hijackers initially offered to let women and children go	#EgyptAir | Cypriot officials say hijackers initially offered to let women and children go	EgyptAir | Cypriot officials say hijackers initially offered to let women and children go	egyptair cypriot officials say hijackers initially offered let women children go	egyptair cypriot offici say hijack initi offer let women children go	0	1	0	13	3	90	0	1	0	0	0	11.0	11.0	3.146838214234211	0.2860762012940192	14	2	{'TO': 1, 'VBP': 2, 'NNP': 3, 'CC': 1, 'VBD': 1, 'RB': 1, 'VB': 1, 'NNS': 4}	{'GPE': 1, 'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0	0	0	4.0	0	0	0	0	0	2.0	3.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0
714750396108025856	2016-03-29 09:45:48	EgyptAir Jet Hijacked, Diverted to Larnaca, Cyprus - https://t.co/RQFZaZTwc2: NBCNews.comEgyptAir Jet Hijacked, ... https://t.co/bGFa2IRIsL	EgyptAir Jet Hijacked, Diverted to Larnaca, Cyprus -  NBCNews.comEgyptAir Jet Hijacked, ... 	EgyptAir Jet Hijacked, Diverted to Larnaca, Cyprus -  NBCNews.comEgyptAir Jet Hijacked, ... 	egyptair jet hijacked diverted larnaca cyprus nbcnews.comegyptair jet hijacked	egyptair jet hijack divert larnaca cyprus nbcnews.comegyptair jet hijack	2	0	0	14	3	139	0	15	0	0	1	8.0	10.0	2.583787832514824	0.322973479064353	11	2	{'NNP': 7, ':': 2, ',': 1, 'TO': 1}	{'GPE': 1, 'ORGANIZATION': 1}	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	7.0	1.0	0	0	2.0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	0	0
714750394086342657	2016-03-29 09:45:48	Makes no sense...How did he get a suicide vest on the plane? Why did he originally want to go to Turkey when ex is in Cyprus? #EgyptAir	Makes no sense...How did he get a suicide vest on the plane? Why did he originally want to go to Turkey when ex is in Cyprus? #EgyptAir	Makes no sense...How did he get a suicide vest on the plane? Why did he originally want to go to Turkey when ex is in Cyprus? EgyptAir	makes sense get suicide vest plane originally want go turkey ex cyprus egyptair	make sens get suicid vest plane origin want go turkey ex cyprus egyptair	0	1	0	26	14	135	0	5	1	0	1	13.0	13.0	3.324503200040707	0.2557310153877467	27	1	{'VBD': 1, 'NN': 4, 'IN': 2, 'VBZ': 1, 'TO': 1, 'VBP': 1, 'NNP': 4, 'DT': 3, 'PRP': 1, '.': 1, ':': 1, 'JJ': 1, 'WRB': 3, 'RB': 1, 'VB': 2}	{'GPE': 1}	0	0	4.0	2.0	0	0	1.0	3.0	0	0	1.0	1.0	0	0	0	0	1.0	1.0	2.0	0	0	0	0	0	0	0	0	1.0	1.0	4.0	1.0	0	0	1.0	3.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0
714750393654370304	2016-03-29 09:45:47	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! #EgyptAir #IsThisTrue ?	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! #EgyptAir #IsThisTrue ?	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! EgyptAir IsThisTrue ?	apparently hijack non-political domestic issue hijacker wants see wife egyptair isthistrue	appar hijack non-polit domest issu hijack want see wife egyptair isthistru	0	2	0	20	11	135	0	2	1	0	0	12.0	12.0	3.1822935231618152	0.2651911269301513	25	1	{'NN': 4, 'IN': 1, 'PRP$': 1, 'VBZ': 2, 'DT': 3, 'JJ': 2, 'NNP': 2, 'TO': 1, 'CC': 1, '.': 3, 'JJR': 1, 'RB': 2, 'VB': 1, ',': 1}	{'ORGANIZATION': 1}	0	0	4.0	1.0	0	0	2.0	0	0	0	0	3.0	1.0	0	0	0	0	2.0	1.0	0	0	1.0	0	0	0	0	0	2.0	0	2.0	1.0	1.0	0	0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0
714750393654370304	2016-03-29 09:45:47	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! #EgyptAir #IsThisTrue ?	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! #EgyptAir #IsThisTrue ?	So apparently the hijack is non-political, but more of a domestic issue. The hijacker wants to see his wife?!?! EgyptAir IsThisTrue ?	apparently hijack non-political domestic issue hijacker wants see wife egyptair isthistrue	appar hijack non-polit domest issu hijack want see wife egyptair isthistru	0	2	0	20	11	135	0	2	1	0	0	12.0	12.0	3.1822935231618152	0.2651911269301513	25	1	{'NN': 4, 'IN': 1, 'PRP$': 1, 'VBZ': 2, 'DT': 3, 'JJ': 2, 'NNP': 2, 'TO': 1, 'CC': 1, '.': 3, 'JJR': 1, 'RB': 2, 'VB': 1, ',': 1}	{'ORGANIZATION': 1}	0	0	4.0	1.0	0	0	2.0	0	0	0	0	3.0	1.0	0	0	0	0	2.0	1.0	0	0	1.0	0	0	0	0	0	2.0	0	2.0	1.0	1.0	0	0	3.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	0	0
714750393021034497	2016-03-29 09:45:47	Cairo Foreign Ministry comes over all @montypython following #Egyptair hijacking (https://t.co/VhvejLreiy).	Cairo Foreign Ministry comes over all @montypython following #Egyptair hijacking (	Cairo Foreign Ministry comes over all montypython following Egyptair hijacking (	cairo foreign ministry comes montypython following egyptair hijacking	cairo foreign ministri come montypython follow egyptair hijack	0	1	1	9	3	107	0	3	0	0	0	7.0	7.0	2.432048516248573	0.3474355023212247	11	3	{'IN': 1, 'VBZ': 1, 'DT': 1, 'NNP': 4, 'VBG': 2, 'NNS': 1, '(': 1}	{'GPE': 1, 'PERSON': 1, 'ORGANIZATION': 1}	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	4.0	0	0	0	0	1.0	0	0	0	2.0	0	0	0	0	1.0	1.0	0	1.0	0	0
